Longitude,Latitude,Download,Upload,Time
121.47086,-30.78251,18281,272,1.64473E+12
121.47086,-30.78251,17888,285,1.64473E+12
121.47086,-30.78251,14487,238,1.64473E+12
121.47086,-30.78251,12727,244,1.64473E+12
121.47086,-30.78251,4812,82,1.64473E+12
121.47086,-30.78251,1471,25,1.64473E+12
121.47086,-30.78251,17083,251,1.64473E+12
121.47086,-30.78251,11227,228,1.64473E+12
121.47086,-30.78251,7101,122,1.64473E+12
121.47086,-30.78251,9705,287,1.64473E+12
121.47086,-30.78251,48,3534,1.64473E+12
121.47086,-30.78251,142,5703,1.64473E+12
121.47086,-30.78251,132,7981,1.64473E+12
121.47086,-30.78251,36,2166,1.64473E+12
121.47086,-30.78251,105,6272,1.64473E+12
121.47086,-30.78251,91,5359,1.64473E+12
121.47086,-30.78251,134,7809,1.64473E+12
121.47086,-30.78251,196,10033,1.64473E+12
121.47086,-30.78251,196,13271,1.64473E+12
121.47086,-30.78251,176,10617,1.64473E+12
121.47086,-30.78251,137,9356,1.64473E+12
121.47086,-30.78251,121,7963,1.64473E+12
121.47086,-30.78251,36,2653,1.64473E+12
121.47086,-30.78251,179,3,1.64473E+12
121.47086,-30.78251,2,2,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,2,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,2,2,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,5,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,2,2,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,15277,235,1.64473E+12
121.47086,-30.78252,4617,64,1.64473E+12
121.47086,-30.78252,5419,100,1.64473E+12
121.47086,-30.78252,5661,95,1.64473E+12
121.47086,-30.78252,2582,39,1.64473E+12
121.47086,-30.78252,2443,64,1.64473E+12
121.47086,-30.78252,12833,187,1.64473E+12
121.47086,-30.78252,10747,132,1.64473E+12
121.47086,-30.78252,6553,140,1.64473E+12
121.47086,-30.78252,13529,183,1.64473E+12
121.47086,-30.78252,7223,123,1.64473E+12
121.47086,-30.78252,9103,268,1.64473E+12
121.47086,-30.78252,36,2052,1.64473E+12
121.47086,-30.78252,46,2622,1.64473E+12
121.47086,-30.78252,46,2841,1.64473E+12
121.47086,-30.78252,66,3990,1.64473E+12
121.47086,-30.78252,64,3876,1.64473E+12
121.47086,-30.78252,75,4446,1.64473E+12
121.47086,-30.78252,97,4161,1.64473E+12
121.47086,-30.78252,170,7638,1.64473E+12
121.47086,-30.78252,166,7800,1.64473E+12
121.47086,-30.78252,136,7733,1.64473E+12
121.47086,-30.78252,83,5308,1.64473E+12
121.47086,-30.78252,44,2654,1.64473E+12
121.47086,-30.78252,147,3,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,2,2,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,2,5,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
